age,bmi,daily_income_inr,children,smoker_tobacco,occupation,tier_city,recommended_policy
58,24.7,408,2,Yes,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
35,25.3,215,2,Yes,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
28,20.8,1185,3,No,Security Guard,Rural,Gramin Dak Sevak (Rural Postal Life)
40,28.4,1443,0,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
39,20.6,566,0,No,Street Vendor (Rehdi),Rural,Gramin Dak Sevak (Rural Postal Life)
34,18.3,979,3,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
22,25.3,1452,1,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
28,21.1,639,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
47,25.1,889,0,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
32,15.6,1259,2,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
44,28.9,1046,1,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
52,26.4,621,0,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
50,18.7,1412,1,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
37,18.8,1401,3,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
33,29.9,807,1,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
51,21.4,219,1,No,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
19,21.1,875,3,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
52,16.1,581,2,No,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
57,22.8,808,0,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
45,23.2,342,2,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
56,26.5,261,2,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
23,19.1,1465,1,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
26,18.7,437,0,No,Security Guard,Rural,PMJJBY (Life Cover - ₹436/year)
37,25.6,1354,1,Yes,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
18,27.5,1346,3,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
25,18.5,1126,2,No,Street Vendor (Rehdi),Tier-2,PMSBY (Accidental Cover - ₹20/year)
40,27.8,541,2,Yes,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
20,24.1,654,3,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
21,27.8,1421,0,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
42,23.8,481,2,No,Delivery Partner (Gig Worker),Rural,PMJJBY (Life Cover - ₹436/year)
55,15.2,1085,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
32,23.5,1224,0,Yes,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
38,27.7,922,1,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
52,20.9,1435,3,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
31,22.6,286,0,No,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
53,23.4,864,3,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
29,13.9,1061,3,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
34,29.8,260,2,Yes,Daily Wage Laborer (MNREGA),Rural,PMJJBY (Life Cover - ₹436/year)
56,20.8,996,0,Yes,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
26,25.8,294,3,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
52,23.7,985,1,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
30,28.4,1370,3,Yes,Small Shopkeeper,Rural,Micro-Endowment (Chota Bachat)
32,25.4,1469,2,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
35,23.2,1160,1,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
50,20.9,496,1,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
23,26.8,1346,0,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
44,17.4,893,1,Yes,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
40,26.3,598,0,No,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
44,20.2,1145,0,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
51,28.4,1454,1,Yes,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
55,24.6,733,0,Yes,Street Vendor (Rehdi),Rural,Gramin Dak Sevak (Rural Postal Life)
31,26.3,601,0,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
53,24.3,329,1,Yes,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
25,17.9,491,2,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
52,21.0,475,3,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
36,26.4,1111,0,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
47,24.6,1125,0,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
31,28.1,254,1,No,Small Shopkeeper,Tier-2,PMJJBY (Life Cover - ₹436/year)
37,25.4,938,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
42,20.6,1249,3,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
57,21.2,964,0,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
41,24.4,1420,1,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
31,15.9,841,2,No,Farmer (Kisan),Tier-1,PMSBY (Accidental Cover - ₹20/year)
43,29.9,1466,3,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
55,25.5,923,2,Yes,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
40,28.3,1413,1,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
39,18.5,1001,2,Yes,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
36,28.4,937,1,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
20,31.8,957,0,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
59,19.4,766,2,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
36,26.7,1499,0,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
26,24.0,539,0,Yes,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
45,18.6,352,1,Yes,Small Shopkeeper,Tier-2,PMJJBY (Life Cover - ₹436/year)
37,25.7,1203,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
24,26.9,626,3,Yes,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
31,21.9,1202,2,Yes,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
26,28.1,403,3,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
36,18.2,1335,0,No,Delivery Partner (Gig Worker),Rural,Gramin Dak Sevak (Rural Postal Life)
31,18.8,524,0,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
55,24.5,1481,1,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
53,24.1,1149,3,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
57,21.5,1150,2,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
34,26.8,1138,1,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
47,25.9,1156,1,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
26,27.0,1093,1,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
50,23.6,634,2,No,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
42,26.1,570,1,No,Security Guard,Tier-1,Micro-Endowment (Chota Bachat)
31,22.4,1132,2,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
28,31.2,448,1,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
52,21.2,1090,3,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
58,31.4,380,0,No,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
31,24.1,902,3,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
47,19.2,1198,3,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
58,28.8,277,1,Yes,Street Vendor (Rehdi),Rural,Gramin Dak Sevak (Rural Postal Life)
21,24.4,1118,3,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
21,27.0,1084,3,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
45,28.3,535,3,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
25,25.2,249,1,No,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
19,21.9,284,2,No,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
58,27.4,894,0,Yes,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
39,24.0,203,0,No,Small Shopkeeper,Tier-1,PMJJBY (Life Cover - ₹436/year)
58,26.4,1192,2,Yes,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
33,16.5,516,2,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
46,25.6,1334,3,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
47,21.8,962,0,Yes,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
29,29.8,1356,2,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
52,26.2,811,3,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
28,24.8,1204,0,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
38,25.7,1113,1,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
38,20.5,998,1,Yes,Auto/Taxi Driver,Tier-1,PMJJBY (Life Cover - ₹436/year)
22,29.7,318,0,Yes,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
37,31.0,549,0,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
54,25.4,1116,1,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
20,29.6,886,1,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
50,22.0,741,0,Yes,Small Shopkeeper,Rural,Gramin Dak Sevak (Rural Postal Life)
26,21.2,1278,3,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
26,24.1,560,2,Yes,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
21,25.5,907,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
52,22.6,884,0,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
34,25.9,529,2,Yes,Farmer (Kisan),Tier-1,Gramin Dak Sevak (Rural Postal Life)
51,25.1,418,1,No,Security Guard,Tier-1,Micro-Endowment (Chota Bachat)
41,20.5,407,1,No,Farmer (Kisan),Tier-1,PMJJBY (Life Cover - ₹436/year)
49,25.8,1044,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
18,27.0,284,0,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
25,24.6,884,1,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
40,28.0,444,3,No,Street Vendor (Rehdi),Rural,Micro-Endowment (Chota Bachat)
57,19.7,1071,3,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
29,25.6,1222,1,Yes,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
29,19.9,1435,1,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
32,20.1,795,2,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
58,21.8,884,0,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
36,20.7,1406,2,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
43,22.1,1356,0,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
46,23.3,1213,3,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
39,26.9,1213,3,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
57,22.9,549,0,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
38,18.5,481,2,No,Security Guard,Tier-2,PMJJBY (Life Cover - ₹436/year)
55,28.0,492,1,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
37,21.1,1492,0,Yes,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
46,23.8,1420,2,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
21,25.6,1183,3,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
24,24.7,219,1,No,Street Vendor (Rehdi),Rural,PMJJBY (Life Cover - ₹436/year)
45,27.8,958,3,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
45,25.7,604,0,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
21,21.0,1338,3,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
39,31.6,900,3,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
29,24.7,1179,0,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
20,23.5,225,1,Yes,Security Guard,Tier-2,PMJJBY (Life Cover - ₹436/year)
39,27.4,765,0,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
19,24.9,594,2,No,Street Vendor (Rehdi),Tier-2,PMJJBY (Life Cover - ₹436/year)
41,25.4,1200,0,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
51,32.7,722,0,Yes,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
44,23.0,1061,1,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
58,22.9,1306,2,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
18,24.4,1001,3,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
25,27.8,749,3,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
40,18.7,286,3,No,Street Vendor (Rehdi),Tier-2,PMJJBY (Life Cover - ₹436/year)
55,17.1,1032,3,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
23,21.9,586,1,No,Small Shopkeeper,Tier-2,Micro-Endowment (Chota Bachat)
39,18.3,1162,2,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
42,22.5,867,1,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
35,25.8,485,0,No,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
34,20.9,897,2,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
29,19.0,1164,2,Yes,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
23,24.2,568,3,Yes,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
43,27.0,854,3,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
44,18.1,853,3,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
25,26.9,896,3,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
36,26.9,1223,0,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
59,27.3,1114,3,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
18,28.3,487,1,Yes,Security Guard,Tier-1,PMJJBY (Life Cover - ₹436/year)
46,31.7,294,2,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
52,22.8,868,0,Yes,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
57,24.4,240,0,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
31,22.5,530,2,No,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
52,24.0,1378,2,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
37,29.4,703,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
30,19.3,474,0,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
55,21.0,378,1,No,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
25,28.8,336,1,No,Small Shopkeeper,Tier-1,PMJJBY (Life Cover - ₹436/year)
37,27.6,966,2,Yes,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
50,22.7,1187,0,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
43,27.0,1403,3,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
56,25.2,1405,0,Yes,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
38,29.3,1482,2,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
59,24.3,442,0,Yes,Small Shopkeeper,Tier-2,Micro-Endowment (Chota Bachat)
58,27.6,1319,0,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
26,33.2,396,0,Yes,Security Guard,Rural,PMJJBY (Life Cover - ₹436/year)
41,26.1,725,3,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
54,24.2,831,2,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
58,26.5,607,2,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
34,22.7,1492,2,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
41,32.4,1394,1,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
38,24.6,890,1,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
56,23.0,369,2,No,Small Shopkeeper,Tier-2,Micro-Endowment (Chota Bachat)
58,21.1,358,0,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
56,27.8,646,0,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
30,27.0,1217,2,Yes,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
28,22.3,1305,3,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
36,26.0,1280,3,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
28,18.7,311,0,No,Street Vendor (Rehdi),Tier-1,PMJJBY (Life Cover - ₹436/year)
30,24.6,247,0,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
18,25.6,575,1,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
57,30.0,1027,3,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
36,21.3,232,0,Yes,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
29,19.5,703,0,Yes,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
25,20.9,826,2,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
25,19.3,1226,1,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
29,28.7,241,3,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
50,29.4,208,3,Yes,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
43,25.1,1199,1,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
56,28.3,1018,0,No,Auto/Taxi Driver,Tier-1,PMJJBY (Life Cover - ₹436/year)
45,24.5,856,3,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
22,23.7,1365,3,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
25,22.8,989,3,Yes,Daily Wage Laborer (MNREGA),Rural,Gramin Dak Sevak (Rural Postal Life)
42,22.9,1250,2,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
44,18.6,1266,1,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
40,24.9,1354,3,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
47,23.9,1439,1,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
40,26.6,797,0,No,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
37,24.3,1135,1,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
35,23.4,1469,2,No,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
35,21.0,1211,2,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
19,24.3,220,1,Yes,Small Shopkeeper,Tier-2,PMJJBY (Life Cover - ₹436/year)
21,26.6,1198,2,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
47,20.0,656,3,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
50,24.3,1213,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
53,24.8,464,0,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
35,21.5,383,1,Yes,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
54,21.9,426,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
36,24.8,1469,0,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
45,20.0,1296,0,No,Auto/Taxi Driver,Tier-2,Saral Jeevan Bima (Standard Term)
57,25.2,1373,0,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
37,20.9,1292,0,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
50,27.7,1168,3,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
29,32.2,1004,2,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
32,21.0,1453,2,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
58,25.9,922,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
56,21.5,1295,0,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
19,27.6,1201,1,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
46,19.6,1074,1,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
58,25.7,283,1,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
27,20.9,939,0,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
19,23.3,422,3,No,Auto/Taxi Driver,Rural,Micro-Endowment (Chota Bachat)
28,20.4,992,3,No,Auto/Taxi Driver,Tier-2,Gramin Dak Sevak (Rural Postal Life)
30,26.9,932,3,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
27,21.1,1439,2,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
31,25.9,1454,2,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
35,22.8,604,2,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
26,23.6,1392,2,No,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
56,24.5,528,1,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
45,21.3,625,1,No,Street Vendor (Rehdi),Rural,Gramin Dak Sevak (Rural Postal Life)
20,24.7,969,3,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
37,29.4,1419,2,Yes,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
23,21.3,807,3,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
44,28.1,725,0,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
19,29.2,824,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
46,21.1,276,2,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
55,18.9,1119,3,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
20,25.1,1145,3,No,Daily Wage Laborer (MNREGA),Rural,PMJJBY (Life Cover - ₹436/year)
33,22.1,665,0,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
47,30.5,1383,3,Yes,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
57,24.1,691,2,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
19,21.2,512,1,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
34,20.0,1384,0,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
58,27.8,507,0,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
29,22.0,1369,2,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
52,24.2,890,1,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
18,27.3,288,3,Yes,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
32,22.3,934,3,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
43,23.8,977,1,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
